"Bus Table (SPI (with CS): 8 Bit, MSB, Clk = D0, MOSI = D1, MISO = D2, CS = D3)"
"gg"
Frame,Mark,Start Time in s,Source,Length,Data,State
241,,-63.39789600e-3,MISO,33,0x8FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,OK
242,,-63.09952800e-3,MOSI,2,0x9800,OK
243,,-63.09952800e-3,MISO,2,0xF800,OK
244,,-63.07994400e-3,MOSI,2,0x0200,OK
245,,-63.07994400e-3,MISO,2,0x01FF,OK
246,,-63.06055200e-3,MOSI,2,0x087F,OK
247,,-63.06055200e-3,MISO,2,0xFFFF,OK
248,,-63.04096800e-3,MOSI,2,0x1480,OK
249,,-63.04096800e-3,MISO,2,0x0F80,OK
250,,-63.02157600e-3,MOSI,2,0x1A07,OK
251,,-63.02157600e-3,MISO,2,0x07FF,OK
252,,-63.00199200e-3,MOSI,2,0x1226,OK
253,,-63.00199200e-3,MISO,2,0xFFFE,OK
254,,-62.98240800e-3,MOSI,2,0x020C,OK
255,,-62.98240800e-3,MISO,2,0x01FF,OK
256,,-62.96301600e-3,MOSI,2,0x1A87,OK
257,,-62.96301600e-3,MISO,2,0xFFFF,OK
258,,-62.94343200e-3,MOSI,2,0x8800,OK
259,,-62.94343200e-3,MISO,2,0xFFFF,OK
260,,-62.92404000e-3,MOSI,2,0x0200,OK
261,,-62.92404000e-3,MISO,2,0xFFFF,OK
262,,-62.90445600e-3,MOSI,2,0x9400,OK
263,,-62.90445600e-3,MISO,2,0xFFFF,OK
264,,-62.88506400e-3,MOSI,33,0x920000000000000000000000000000000000000000000000000000000000000000,OK
265,,-62.88506400e-3,MISO,33,0x8FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,OK
266,,-62.58650400e-3,MOSI,2,0x9800,OK
267,,-62.58650400e-3,MISO,2,0xF800,OK
268,,-62.56692000e-3,MOSI,2,0x0200,OK
269,,-62.56692000e-3,MISO,2,0x01FF,OK
270,,-62.54752800e-3,MOSI,2,0x087F,OK
271,,-62.54752800e-3,MISO,2,0xFFFF,OK
272,,-62.52794400e-3,MOSI,2,0x1480,OK
273,,-62.52794400e-3,MISO,2,0x0F80,OK
274,,-62.50855200e-3,MOSI,2,0x1A07,OK
275,,-62.50855200e-3,MISO,2,0x07FF,OK
276,,-62.48896800e-3,MOSI,2,0x1226,OK
277,,-62.48896800e-3,MISO,2,0xFFFE,OK
278,,-62.46957600e-3,MOSI,2,0x020C,OK
279,,-62.46957600e-3,MISO,2,0x01FF,OK
280,,-62.44999200e-3,MOSI,2,0x1A87,OK
281,,-62.44999200e-3,MISO,2,0xFFFF,OK
282,,-62.43040800e-3,MOSI,2,0x8800,OK
283,,-62.43040800e-3,MISO,2,0xFFFF,OK
284,,-62.41101600e-3,MOSI,2,0x0200,OK
285,,-62.41101600e-3,MISO,2,0xFFFF,OK
286,,-62.39143200e-3,MOSI,2,0x9400,OK
287,,-62.39143200e-3,MISO,2,0xFFFF,OK
288,,-62.37204000e-3,MOSI,33,0x920000000000000000000000000000000000000000000000000000000000000000,OK
289,,-62.37204000e-3,MISO,33,0x8FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,OK
290,,-62.07348000e-3,MOSI,2,0x9800,OK
291,,-62.07348000e-3,MISO,2,0xF800,OK
292,,-62.05389600e-3,MOSI,2,0x0200,OK
293,,-62.05389600e-3,MISO,2,0x01FF,OK
294,,-62.03450400e-3,MOSI,2,0x087F,OK
295,,-62.03450400e-3,MISO,2,0xFFFF,OK
296,,-62.01492000e-3,MOSI,2,0x1480,OK
297,,-62.01492000e-3,MISO,2,0x0F80,OK
298,,-61.99552800e-3,MOSI,2,0x1A07,OK
299,,-61.99552800e-3,MISO,2,0x07FF,OK
300,,-61.97594400e-3,MOSI,2,0x1226,OK
301,,-61.97594400e-3,MISO,2,0xFFFE,OK
302,,-61.95655200e-3,MOSI,2,0x020C,OK
303,,-61.95655200e-3,MISO,2,0x01FF,OK
304,,-61.93696800e-3,MOSI,2,0x1A87,OK
305,,-61.93696800e-3,MISO,2,0xFFFF,OK
306,,-61.91757600e-3,MOSI,2,0x8800,OK
307,,-61.91757600e-3,MISO,2,0xFFFF,OK
308,,-61.89799200e-3,MOSI,2,0x0200,OK
309,,-61.89799200e-3,MISO,2,0xFFFF,OK
310,,-61.87840800e-3,MOSI,2,0x9400,OK
311,,-61.87840800e-3,MISO,2,0xFFFF,OK
312,,-61.85901600e-3,MOSI,33,0x920000000000000000000000000000000000000000000000000000000000000000,OK
313,,-61.85901600e-3,MISO,33,0x8FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,OK
314,,-61.56045600e-3,MOSI,2,0x9800,OK
315,,-61.56045600e-3,MISO,2,0xF800,OK
316,,-61.54106400e-3,MOSI,2,0x0200,OK
317,,-61.54106400e-3,MISO,2,0x01FF,OK
318,,-61.52148000e-3,MOSI,2,0x087F,OK
319,,-61.52148000e-3,MISO,2,0xFFFF,OK
320,,-61.50189600e-3,MOSI,2,0x1480,OK
