"Bus Table (SPI (with CS): 8 Bit, MSB, Clk = D0, MOSI = D1, MISO = D2, CS = D3)"
"gg"
Frame,Mark,Start Time in s,Source,Length,Data,State
178,,47.56052240e-3,MOSI,2,0x087F,OK
179,,47.56052240e-3,MISO,2,0xFFFF,OK
180,,47.58001680e-3,MOSI,2,0x1480,OK
181,,47.58001680e-3,MISO,2,0x0F80,OK
182,,47.59951760e-3,MOSI,2,0x1A07,OK
183,,47.59951760e-3,MISO,2,0x07FF,OK
184,,47.61901840e-3,MOSI,2,0x1226,OK
185,,47.61901840e-3,MISO,2,0xFFFE,OK
186,,47.63851920e-3,MOSI,2,0x020C,OK
187,,47.63851920e-3,MISO,2,0x01FF,OK
188,,47.65802000e-3,MOSI,2,0x9A00,OK
189,,47.65802000e-3,MISO,2,0xFFFF,OK
190,,47.67752080e-3,MOSI,2,0x1AFF,OK
191,,47.67752080e-3,MISO,2,0xFFFF,OK
192,,47.69702160e-3,MOSI,2,0x8800,OK
193,,47.69702160e-3,MISO,2,0xFFFF,OK
194,,47.71651600e-3,MOSI,2,0x0200,OK
195,,47.71651600e-3,MISO,2,0xFE00,OK
196,,47.73601680e-3,MOSI,2,0x9400,OK
197,,47.73601680e-3,MISO,2,0x7FFF,OK
198,,47.75551760e-3,MOSI,2,0x9200,OK
199,,47.75551760e-3,MISO,2,0xF1FF,OK
200,,47.77501840e-3,MOSI,2,0x9800,OK
201,,47.77501840e-3,MISO,2,0xF800,OK
202,,47.79451920e-3,MOSI,2,0x0200,OK
203,,47.79451920e-3,MISO,2,0x01FF,OK
204,,47.81402000e-3,MOSI,2,0x087F,OK
205,,47.81402000e-3,MISO,2,0xFFFF,OK
206,,47.83352080e-3,MOSI,2,0x1480,OK
207,,47.83352080e-3,MISO,2,0x0F80,OK
208,,47.85302160e-3,MOSI,2,0x1A07,OK
209,,47.85302160e-3,MISO,2,0x07FF,OK
210,,47.87252240e-3,MOSI,2,0x1226,OK
211,,47.87252240e-3,MISO,2,0xFFFE,OK
212,,47.89201680e-3,MOSI,2,0x020C,OK
213,,47.89201680e-3,MISO,2,0x01FF,OK
214,,47.91151760e-3,MOSI,2,0x9A00,OK
215,,47.91151760e-3,MISO,2,0xFFFF,OK
216,,47.93101840e-3,MOSI,2,0x1AFF,OK
217,,47.93101840e-3,MISO,2,0xFFFF,OK
218,,47.95051920e-3,MOSI,2,0x8800,OK
219,,47.95051920e-3,MISO,2,0xFFFF,OK
220,,47.97002000e-3,MOSI,2,0x0200,OK
221,,47.97002000e-3,MISO,2,0xFE00,OK
222,,47.98952080e-3,MOSI,2,0x9400,OK
223,,47.98952080e-3,MISO,2,0x7FFF,OK
224,,48.00902160e-3,MOSI,2,0x9200,OK
225,,48.00902160e-3,MISO,2,0xF1FF,OK
226,,48.02852240e-3,MOSI,2,0x9800,OK
227,,48.02852240e-3,MISO,2,0xF800,OK
228,,48.04801680e-3,MOSI,2,0x0200,OK
229,,48.04801680e-3,MISO,2,0x01FF,OK
230,,48.06751760e-3,MOSI,2,0x087F,OK
231,,48.06751760e-3,MISO,2,0xFFFF,OK
232,,48.08701840e-3,MOSI,2,0x1480,OK
233,,48.08701840e-3,MISO,2,0x0F80,OK
234,,48.10651920e-3,MOSI,2,0x1A07,OK
235,,48.10651920e-3,MISO,2,0x07FF,OK
236,,48.12602000e-3,MOSI,2,0x1226,OK
237,,48.12602000e-3,MISO,2,0xFFFE,OK
238,,48.14552080e-3,MOSI,2,0x020C,OK
239,,48.14552080e-3,MISO,2,0x01FF,OK
240,,48.16502160e-3,MOSI,2,0x9A00,OK
241,,48.16502160e-3,MISO,2,0xFFFF,OK
242,,48.18452240e-3,MOSI,2,0x1AFF,OK
243,,48.18452240e-3,MISO,2,0xFFFF,OK
244,,48.20401680e-3,MOSI,2,0x8800,OK
245,,48.20401680e-3,MISO,2,0xFFFF,OK
246,,48.22351760e-3,MOSI,2,0x0200,OK
247,,48.22351760e-3,MISO,2,0xFE00,OK
248,,48.24301840e-3,MOSI,2,0x9400,OK
249,,48.24301840e-3,MISO,2,0x7FFF,OK
250,,48.26251920e-3,MOSI,2,0x9200,OK
251,,48.26251920e-3,MISO,2,0xF1FF,OK
252,,48.28202000e-3,MOSI,2,0x9800,OK
253,,48.28202000e-3,MISO,2,0xF800,OK
254,,48.30152080e-3,MOSI,2,0x0200,OK
255,,48.30152080e-3,MISO,2,0x01FF,OK
256,,48.32102160e-3,MOSI,2,0x087F,OK
257,,48.32102160e-3,MISO,2,0xFFFF,OK
258,,48.34052240e-3,MOSI,2,0x1480,OK
259,,48.34052240e-3,MISO,2,0x0F80,OK
260,,48.36001680e-3,MOSI,2,0x1A07,OK
261,,48.36001680e-3,MISO,2,0x07FF,OK
262,,48.37951760e-3,MOSI,2,0x1226,OK
263,,48.37951760e-3,MISO,2,0xFFFE,OK
264,,48.39901840e-3,MOSI,2,0x020C,OK
